Epoch,Stage,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75
1,Stage 1 (Augmented),42.36652403080717,31.111812482561383,0.01429370947290948,0.03002890849703993,0.011962513795836564
2,Stage 1 (Augmented),22.012586630151628,14.437454132806687,0.28933064174789097,0.5778067386823056,0.252490303648566
3,Stage 1 (Augmented),20.029189272129788,11.715249043419247,0.39929128802976255,0.7963297793804637,0.33927886594060913
4,Stage 1 (Augmented),19.422537478994816,11.221893065316337,0.43212589618449954,0.859521986607669,0.37372036728775376
5,Stage 1 (Augmented),19.04587712592267,11.059811455862862,0.4493005946275921,0.8864858731700139,0.3965801382384987
6,Stage 1 (Augmented),18.739969087154307,11.016494360424224,0.4536138940069408,0.899450163144181,0.3920781747867704
7,Stage 1 (Augmented),18.505922005024363,10.995941480000814,0.45512321666508565,0.8983775319290288,0.3921600785051748
8,Stage 1 (Augmented),18.27544361885558,11.060350863138835,0.4548847372790641,0.8963431373623357,0.3951267622152239
9,Stage 1 (Augmented),18.112062092030303,11.1244506472633,0.44699947454950245,0.8724800041424958,0.3927141376141479
10,Stage 1 (Augmented),17.913192589739534,11.239324015662783,0.40589658824807434,0.7926885020764182,0.3604391680492611
11,Stage 1 (Augmented),17.704895636375912,11.327686055501301,0.3586899615405199,0.7000978093815396,0.32067684323498963
12,Stage 1 (Augmented),17.516998063757065,11.372573098682222,0.28996696373394415,0.5682152868819336,0.2594613167626501
13,Stage 1 (Augmented),17.27704635275171,11.4301086970738,0.22176507136936474,0.4320163727749872,0.20199878909869146
14,Stage 1 (Augmented),16.98499338677589,11.535117503574916,0.13559815438337106,0.26167146405433006,0.12519888491835202
15,Stage 1 (Augmented),16.592355586112813,11.618613833472843,0.1170676422065009,0.22571068197161132,0.10672873225195789
16,Stage 2 (Clean),16.029488423530093,11.760225995381672,0.07499586566450087,0.1432169143457931,0.06938957261013366
17,Stage 2 (Clean),15.43252997195467,11.89544255392892,0.05337223823834253,0.10520838198159287,0.04597459989951428
18,Stage 2 (Clean),14.884992713116585,12.004010809035528,0.04370493493360947,0.08889654420048758,0.03605458741871239
19,Stage 2 (Clean),14.509026339713563,12.063956133524577,0.045732034080558114,0.09456652216248349,0.03776176842897448
20,Stage 2 (Clean),14.326876267981023,12.094794209798177,0.04746607689575296,0.09945391652841816,0.03928002744094349
