Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75
1,27.29905501629444,11.923019073123024,0.42261089141941477,0.8536791548344828,0.3524284713055216
2,20.478538385350653,11.448674519856771,0.43431635727722806,0.8771614073675658,0.36584034211631666
3,19.646985622162514,11.383900279090518,0.4444753126777648,0.893563197748235,0.371080538666573
4,19.214626145870128,11.634791782924108,0.4382005274181772,0.8956563454894524,0.3506119245052538
5,18.93640552885989,11.556615257263184,0.4500457004950996,0.8962253026422803,0.38171279311824324
6,18.709490838963934,11.563637787955148,0.4528503191709988,0.8988337033184184,0.3868978239483383
7,18.558795784889384,11.542011433555967,0.45430801877122035,0.8993142138611896,0.3907026336286748
8,18.44807505911969,11.714454369317918,0.45374632055464464,0.9002833647208832,0.38967088590999843
9,18.3008659535266,11.90203145345052,0.450731428829808,0.894718200032532,0.3833289746053321
10,18.21820998394743,11.821521940685454,0.44778701594886117,0.8986402419505461,0.3736272553452085
11,18.089754091425146,11.779278918675013,0.4504154093829688,0.8939912784175894,0.37958525457128345
12,18.046884637183332,11.93857611701602,0.4461742368379506,0.8889299181696964,0.3868523929266243
