Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1058.2406,1224.8295,0.0,0.0001,1.0432452446024003e-05
2,29.8242,27.3156,0.1673,0.3339,2.8005791264497677e-05
3,21.5454,12.7406,0.4089,0.8134,5.201003036093354e-05
4,20.0198,11.3672,0.4429,0.8688,7.601158113154767e-05
5,19.4738,10.9529,0.4561,0.8877,9.35775754945565e-05
6,19.0392,10.8853,0.463,0.9016,9.999999972715664e-05
7,18.6788,10.9648,0.4621,0.8999,9.957156271470659e-05
8,18.4453,10.978,0.4578,0.8989,9.829494594242964e-05
9,18.2613,11.0702,0.4568,0.8952,9.619199267724454e-05
10,18.0864,11.1519,0.4514,0.8839,9.329868503256732e-05
11,17.9746,11.2879,0.4056,0.7825,8.966452830437493e-05
12,17.8351,11.4309,0.2926,0.5548,8.535170392186526e-05
13,17.6933,11.4703,0.1631,0.2978,8.043400550596393e-05
14,17.5239,11.5214,0.1174,0.2187,7.499557624001054e-05
15,17.3564,11.6364,0.0315,0.0529,6.912946915656305e-05
1,1115.3563,1134.4815,0.0,0.0,6.349659158633739e-06
2,41.653,40.3462,0.0334,0.072,1.3168599211128653e-05
3,23.8122,14.8641,0.3418,0.6742,2.378922911804642e-05
4,20.8462,11.8169,0.4225,0.8323,3.717176303225171e-05
5,19.8543,11.13,0.4446,0.876,5.2006017896359534e-05
6,19.3789,10.8835,0.455,0.8901,6.683968359358e-05
7,19.0042,10.808,0.4638,0.9023,8.02205076880137e-05
8,18.7413,10.983,0.461,0.9026,9.083847451784596e-05
9,18.5745,10.9285,0.4596,0.8951,9.765405895775237e-05
10,18.392,11.0829,0.4595,0.8929,9.99999999017764e-05
11,18.2446,11.2157,0.4466,0.8656,9.984562130988512e-05
12,18.1254,11.3763,0.3866,0.7412,9.938392912033383e-05
13,17.9778,11.4424,0.2569,0.4762,9.861776981899935e-05
14,17.831,11.5128,0.1694,0.3072,9.755186703274821e-05
15,17.7389,11.5609,0.0713,0.1247,9.619279240670631e-05
