Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1365.6818,2321.5726,0.0,0.0,6.349783026554217e-06
2,61.6127,131.9444,0.0032,0.0072,1.3169070428221762e-05
3,24.5837,20.8309,0.232,0.4287,2.3790201963767935e-05
4,20.9683,12.9368,0.4262,0.8295,3.717328785798329e-05
5,19.8061,11.4867,0.4461,0.8764,5.200802194098682e-05
6,19.3086,10.9527,0.4608,0.8972,6.684197061479156e-05
7,18.9607,10.9026,0.459,0.9017,8.022277717896075e-05
8,18.6891,10.8048,0.466,0.9058,9.084035862740728e-05
9,18.4796,10.9591,0.4567,0.894,9.765517276552212e-05
10,18.2722,11.1165,0.4503,0.8876,9.999999982547312e-05
11,18.1119,11.1964,0.4435,0.8617,9.984553935588626e-05
12,17.9547,11.307,0.3658,0.7016,9.938376579391306e-05
13,17.7923,11.3969,0.2178,0.4118,9.861752612711835e-05
14,17.6423,11.4859,0.1472,0.2785,9.755154447784847e-05
